Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Al Wt%	Si Wt%	Cl Wt%	Ca Wt%	Br Wt%	Rb Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
34		PD03_02	PM2.5	4.581542823	2.415243569	13.9576694	3.383796216	193	57.49575496	0	1.161428541		0.794662535	0			20.75432837	0	0.199777889	19.59405839	0	0	0
37		PD03_02	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	26	63.20269704	0	14.33052421		21.9025135	0.043303051			0.151808246	0.162393972	0	0.206763414	0	0	0
36		PD03_02	PM10	8.380871018	3.26662768	13.32382959	1.685617835	343	38.81804347	29.63914275	11.3926433		0.850075204	0			5.468462035	6.285390258	0	0	0	0	7.546252012
39		PD03_02	PM2.5	2.123153991	1.644166543	7.202930912	1.944585934	94	58.04774761	12.37440929	0		0	0.015110787			0	0	0	29.5627296	0	0	0
38		PD03_02	PM10	9.610065434	3.497987327	18.43959368	2.815571013	380	46.7763871	4.965561256	2.271773852	31.79896772	0.667257374	2.528954856			2.274165116	7.493074238	1.223863661	0	0	0	0
41		PD03_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	28	65.40948153	13.88909221	0		0.01477959	0.02552158			0.089222624	0.539649185	0.64825397	0.121347606	0	0	19.26266104
42		PD03_02	PM2.5	1.564429257	1.411344463	4.776321387	1.160436259	98	19.23067868	0	0		0	0.50714137			36.39973104	20.3494966	17.51505286	0	3.767424449	0.074419449	2.156059258
45		PD03_02	PM2.5	0.446979788	0.754395348	2.951699618	1.551124184	39	69.10455823	0	0		0.201959047	8.230566978			11.82860807	10.63430905	0	0	0	0	0
49		PD03_02	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	22	60.52113175	26.71751678	2.826447599		0.014979087	0.026499425			1.329365559	1.057175547	0.114289112	3.09125036	0	0	4.301349446
46		PD03_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	27	0	84.08233523	11.10645384		0	0.336403586			1.769725233	1.377731748	0	1.327356044	0	0	0
