Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Na Wt%	Al Wt%	Si Wt%	Cl Wt%	Ca Wt%	Ti Wt%	Fe Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
96		PD02_01	PM10	17.43221172	4.711197439	16.94122107	1.310168228	679	45.91225982	6.44460097		7.008444518	6.409665197	0.383410603	17.67600775			2.250076644	3.547817841	4.107585922	4.390286654	0	1.869846508	0
97		PD02_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	22	3.375221789	0.76355366		0		11.53952628	0.018532656			0	0	38.11584413	21.30265385	13.90573531	6.349221617	4.62971665
100		PD02_01	PM2.5	2.90536862	1.923338301	6.306546055	1.089361538	127	53.1045258	0		0		0	39.56694305			0	0	0	0	0.936296117	5.777332559	0.614895625
98		PD02_01	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	34	58.01502466	19.07621622		9.844777733		0	12.16307357			0.118322857	0.083628151	0.093984103	0.106580905	0.129508914	0.162051222	0.206822995
101		PD02_01	PM2.5	3.687583248	2.166835669	7.75987306	1.299443905	121	49.26936626	9.494495392		0.060879823		0	9.008695185			0	0	0	0	0	24.78965372	7.376909256
99		PD02_01	PM2.5	2.90536862	1.923338301	6.044001009	1.000548052	106	44.49464381	0		1.45454444	29.91091013	2.12817248	1.378746051			11.69671342	1.142772008	0	0	0	0	7.793497294
102		PD02_01	PM10	6.48120692	2.872651902	9.290097728	1.059680187	197	68.85640621	7.794778794		0.419724965		1.159478072	17.64277071			0	0	0	1.386243477	0	2.74060145	0
105		PD02_01	PM2.5	0.893959575	1.066876133	3.508641765	1.095847984	37	52.92026997	0.785673875		0.104873313		9.067985415	9.489631653			0	10.23042649	13.22516054	4.175974056	0	0	0
104		PD02_01	PM2.5	0.670469681	0.923941834	2.874801954	0.980904789	32	62.28500605	0		5.889575183		0	0			7.111787796	0	0	14.10998255	8.002252132	2.601390518	0
106		PD02_01	PM2.5	4.469797876	2.385607556	8.841905299	1.391854921	163	42.82959998	11.84121817		9.730187058		0	4.099425301			4.465260357	18.51161122	3.269401938	0	0	5.2532956	0
107		PD02_01	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	29	55.75621724	27.78840959		0		0.393168442	0.845463946			3.669920191	9.434706718	1.474595536	0	0	0	0.637518475
109		PD02_01	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	27	51.2037456	29.44877744		17.99445897		0.015047341	0			0	0	0.539049692	0.135948206	0.199327176	0.208834186	0.254823128
113		PD02_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	23	27.77180076	22.1403271		12.92436719		0.069625635	0.113735255			0	0	0	0	36.98013425	0	0
114		PD02_01	PM2.5	3.575838301	2.133752265	7.75987306	1.340051527	161	81.12285137	0		0		1.501968596	9.758937359			0	0	5.176819488	0	2.439415641	0	0
112		PD02_01	PM2.5	4.805032717	2.473450559	8.022418106	1.065870327	192	43.60987842	0		9.559704363	16.01858437	0	0			0	0	0	4.193597659	0	10.62083542	15.99740386
115		PD02_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	16	0	38.85840774		30.29659688		0.054856762	0.963423681			12.90636063	16.92034602	0	0	0	0	0
117		PD02_01	PM2.5	1.117449469	1.192803778	3.87993653	1.072041222	57	27.8409183	40.3743118		0		0	0.015412073			18.46414208	12.36001253	0	0	0	0.945210084	0
116		PD02_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	18	71.92523479	0		0		0.011701747	11.96490228			0	0	7.872798294	0.422759587	2.041190118	0	5.761410296
118		PD02_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	25	37.41444349	25.36233366		7.833683491		3.774505481	0.019198032			0	0	0	0	0	14.75497931	10.8408533
119		PD02_01	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	25	91.10510349	0		7.017984986		0.024906648	0			0	0	0.196278747	0.467792898	0.40823468	0.341975689	0.437730411
121		PD02_01	PM2.5	0.670469681	0.923941834	2.874801954	0.980904789	28	19.71311718	9.878137708		1.448765211		0.842228625	1.892115548			0	8.252542466	17.24815816	37.91097403	2.697394975	0	0.11656112
120		PD02_01	PM2.5	0.670469681	0.923941834	3.060449336	1.111684066	35	84.89283323	0		8.537952602		3.942866623	0.06436418			0.230494491	0.247323629	0.278398977	0.316436333	0.385910645	0.484167458	0.619265623
122		PD02_01	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	21	63.85228634	0		0		16.46133065	0.286002806			4.029392079	8.469160646	0.206926209	0.800382718	0	5.894512683	0
123		PD02_01	PM10	6.034227133	2.771825501	9.81518782	1.270473795	213	42.44855046	2.257775702		5.657577515		0	2.354062721			9.531503171	27.55690813	10.19362807	0	0	0	0
