Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Na Wt%	Al Wt%	Si Wt%	S Wt%	Cl Wt%	Ca Wt%	Fe Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
91		PD03_01	PM2.5	0.335234841	0.653325536	2.164064479	1.111684066	17	48.31235111	16.88737124		31.57009184			0.045760145	0.079153356		0.280596525	0.300716795	0.338147534	0.383963971	0.467504421	0.585827185	0.74852407
92		PD03_01	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	40	49.6175617	5.932627618		0			9.080328792	0.391023839		10.88541672	1.865317486	0	16.11855775	0	6.109167635	0
93		PD03_01	PM2.5	1.676174204	1.46088031	4.776321387	1.083073842	96	34.69248712	38.01328242		4.644272104			0	8.635849506		0	0	0	0	0	4.668829218	9.345283359
94		PD03_01	PM10	9.945300275	3.55847574	17.80575387	2.536839361	289	61.48795485	13.85441571		17.60023534			0.437297532	1.479486842		0	0	0.165999017	0	0	0	4.974613339
95		PD03_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	11	0	0		63.68838549			0.61034481	0.946061872		3.194727004	3.407172859	3.804268688	4.306176677	5.217628554	6.521840394	8.303390443
96		PD03_01	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	32	60.21398306	11.891637		1.23764025			0	0.029903909		7.001104206	0	0	19.62572932	0	0	0
97		PD03_01	PM2.5	1.564429257	1.411344463	4.776321387	1.160436259	92	54.74137068	4.216619954		8.797748387			0	0		5.650589988	9.994579107	14.9577722	0	1.019996591	0	0.621324591
98		PD03_01	PM10	12.18019921	3.938059332	17.20376612	1.933671979	449	59.51473713	0		1.200953126			0.808821898	1.518193632		10.47071889	16.22304469	7.556425035	0	0.996925589	1.710182987	0
100		PD03_01	PM2.5	0.446979788	0.754395348	2.426609525	1.048339735	21	93.0754602	0		4.859899357			0.027244788	0.049424334		0.178280077	0.191466231	0.215689233	0.245338026	0.299558463	0.376157509	0.481475145
102		PD03_01	PM2.5	1.229194416	1.251023157	4.776321387	1.476918875	60	84.95886922	0		5.99235706			2.497527562	0		2.723457851	3.827784956	0	0	0	0	0
104		PD03_01	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	32	27.06434429	0		23.9295423			1.777174138	0.198648171		16.42117649	21.31362408	9.295494854	0	0	0	0
106		PD03_01	PM2.5	0.782214628	0.997971241	3.246096719	1.071981064	19	57.15881586	0		24.9631092			0.022607112	0.038283702		0	0	9.830256552	0	1.532630529	4.482360557	1.971926913
107		PD03_01	PM2.5	1.45268431	1.360005555	4.96196877	1.34873598	80	38.88972998	31.73516989		13.62091452			0	1.52366031		0	0	6.085893512	3.512459248	4.632166401	0	0
109		PD03_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	23	0	37.56237924		48.07523787			0	0.367498398		1.273951866	1.362511795	1.527316868	1.732284017	2.104999498	2.633985505	3.359829262
110		PD03_01	PM2.5	1.229194416	1.251023157	3.956834194	1.013596872	60	43.84055734	0		5.780430138			0.007919767	0.741982507		0	0	45.86217701	3.262893856	0.504037738	0	0
111		PD03_01	PM2.5	1.005704522	1.131593022	3.694289147	1.079894928	68	26.40103996	10.7802704		17.29512066			0	0.068972138		12.78361529	27.07337141	0	5.597615615	0	0	0
112		PD03_01	PM2.5	0.782214628	0.997971241	3.508641765	1.252397696	25	39.47976232	39.48981464		0			0.026999164	0.04651731		2.68670395	2.072448283	1.040292252	7.714991271	0	0	7.442478836
114		PD03_01	PM10	8.380871018	3.26662768	11.63980959	1.286449466	346	46.30005956	3.787626699		10.64480916	19.70480084		0.769544486	1.434565987		0	0	2.992194705	0.850491878	0	1.800583117	11.71533465
115		PD03_01	PM2.5	0.446979788	0.754395348	2.426609525	1.048339735	33	36.81041896	36.25943065		0			11.7435962	0.026840105		0	0	0.45573567	0	14.7039786	0	0
116		PD03_01	PM2.5	1.45268431	1.360005555	4.328128958	1.026169907	95	49.11300838	18.75350028		1.128611434			0	2.348328941		1.283461507	0.334467203	0	0	22.89358377	4.145031795	0
118		PD03_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	23	79.13397551	15.19738287		4.00974974			0.021936021	0.039739415		0.143297692	0.15387655	0.173349399	0.197142945	0.240655383	0.302161742	0.386734959
119		PD03_01	PM10	23.01945906	5.413805092	17.83760593	1.099937864	788	47.84734547	1.819026843		8.105596155	29.77957726		1.48177417	0		6.065170467	0.212547998	0.060626969	0	1.651005819	0.577371474	2.399956621
120		PD03_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	16	0	15.06592333		0.448841834			0	0.046943387		0	0	0	0.201206119	36.66548431	0	47.57159948
121		PD03_01	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	15	78.54738832	0		0.866991747			0	0		11.92409173	0	0	3.269276768	1.396227349	1.753212512	2.242802642
124		PD03_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	8	73.76765609	0		0			0.372728892	0.642606569		2.268198691	2.434583567	2.731465921	3.109546565	3.798886016	4.771538824	6.102792919
125		PD03_01	PM2.5	1.005704522	1.131593022	3.431744101	0.931857543	47	57.53744841	11.68521792		0			4.182718694	0.052534958		0.586447259	0	0	0	0	0	25.95562935
126		PD03_01	PM10	10.9510048	3.734066465	15.93608649	1.845438273	322	58.7790072	0		6.378041953	19.03559268		0	1.587501541		0	0.159143482	0	3.823946416	0	10.2367647	0
127		PD03_01	PM2.5	1.005704522	1.131593022	3.694289147	1.079894928	30	10.90110615	4.995547235		0.097130798			1.289509609	0		0.192332675	0	0	0	0	6.36293143	76.16144419
128		PD03_01	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	22	68.03851724	0		0			0.025056474	0.64189476		20.47558278	9.54972133	0	1.269224472	0	0	0
129		PD03_01	PM2.5	2.234898938	1.68687928	6.306546055	1.41617	80	78.17527056	0		11.4234969			0	8.994183689		0.854062103	0	0	0.214321516	0.087925541	0.110113341	0.140634039
130		PD03_01	PM2.5	0.893959575	1.066876133	3.246096719	0.937983431	49	12.03168556	27.23536491		15.87365866			0	0.013030876		0	0	0	0	0	44.84625757	0
131		PD03_01	PM2.5	0.893959575	1.066876133	3.246096719	0.937983431	37	48.14682305	0		0			0.010212409	0.45524966		0.098247593	0.208813022	0	0	0	43.4251219	7.655531168
132		PD03_01	PM2.5	0.782214628	0.997971241	3.060449336	0.952872057	28	37.5511378	25.05838573		0.019596396			0.019107752	0.03176835		3.224270046	8.440264314	0	0	0	25.65546334	0
133		PD03_01	PM2.5	2.90536862	1.923338301	6.940385866	1.319338172	149	44.97245848	0.676258141		0.341010676	26.85449123		0.001835684	6.215850636		0	0	4.763589427	16.17451161	0	0	0
