Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Al Wt%	Si Wt%	S Wt%	Cl Wt%	Ca Wt%	Br Wt%	Rb Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
142		BU02_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	25	88.23552132	0	8.420778811			0	0.081446464			0.292797247	0.314390427	0.353989541	0.402647303	0.491573848	0.617130753	0.789726619
143		BU02_03	PM2.5	0.446979788	0.754395348	2.426609525	1.048339735	38	0	21.50252163	9.407389164			14.26820308	22.99602926			16.01967961	10.80733314	0	0	0	4.118712991	0.880131125
144		BU02_03	PM2.5	1.899664097	1.555225852	5.147616152	1.110006779	62	29.8088491	0	2.113505267			0	12.11707294			1.301204413	1.707524434	3.601061925	5.623893812	0	43.72689128	0
145		BU02_03	PM2.5	0.782214628	0.997971241	3.246096719	1.071981064	22	11.81291044	0	0			0.043738639	1.282574795			0	2.068157308	54.0030241	0	8.974482119	13.36010098	8.455009758
146		BU02_03	PM2.5	1.340939363	1.306651072	4.328128958	1.111684066	45	42.22760499	0	0			0	0			6.287520379	0.847852323	0	14.33550715	17.26791412	7.888375223	11.14521474
147		BU02_03	PM2.5	0.335234841	0.653325536	2.164064479	1.111684066	22	50.72112083	0	14.63257521			1.990432851	31.40016198			0	0	0	1.007187366	0	0.248528086	0
149		BU02_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	11	0	57.42178559	0.606083404			0.04871258	38.18100095			0.377566251	0.365719898	0.408912683	0.461684959	0.556802424	0.692500407	0.879229512
148		BU02_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	14	43.15992892	0	0			0	0.049970625			2.192840166	1.81851387	11.50936708	18.84393841	22.4254474	0	0
150		BU02_03	PM2.5	1.899664097	1.555225852	5.487058862	1.261224967	72	62.06555963	0	3.801438585			0	3.610122576			0	0	13.14108521	0	4.560380429	9.707190841	3.114226647
151		BU02_03	PM2.5	0.893959575	1.066876133	3.246096719	0.937983431	36	85.85451245	0	0			7.409183681	0.165658083			0.591086643	0.63430029	0.713425409	0.811284781	0.989905093	1.242086478	1.588555984
152		BU02_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	17	0	35.96061468	39.94678557			0.37584207	0.610245019			2.104740776	2.250623703	2.520031668	2.858612314	3.474481031	4.349731281	5.548296124
153		BU02_03	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	54	31.33167624	22.66720235	17.90392548			13.81247938	13.65283728			0.121997169	0.074549863	0.083578954	0.094562821	0.114446611	0.142752624	0
154		BU02_03	PM2.5	0.335234841	0.653325536	2.240962143	1.192092698	24	14.72483873	42.99308062	0.859502051			0.021200671	4.564234987			0	0	7.942835987	14.16587979	14.7284314	0	0
155		BU02_03	PM2.5	0.335234841	0.653325536	2.164064479	1.111684066	24	0.487884227	1.99478697	0			3.404156119	0.015275879			3.806184977	7.042263448	44.4375366	15.13646543	12.31226772	5.747634172	5.615549535
156		BU02_03	PM2.5	1.005704522	1.131593022	3.694289147	1.079894928	31	36.77254617	0	0			0.011749414	0.018761326			10.68543345	26.63950622	13.91386092	6.773348898	5.184787512	0	0
157		BU02_03	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	48	0	48.52808714	0.354412338			2.759863064	47.60697186			0.584792998	0	0	0.165864395	0	0	0
158		BU02_03	PM2.5	1.005704522	1.131593022	4.328128958	1.482245422	29	0	16.24914706	0			0	0.378905446			0	0	1.505572442	75.76081753	6.105562672	0	0
159		BU02_03	PM2.5	1.117449469	1.192803778	4.405026622	1.381844955	65	41.00149572	0	17.40386784			0.010721201	0.137596589			14.31382298	21.64503783	0	0	2.81308312	1.722673886	0.951694977
160		BU02_03	PM2.5	2.123153991	1.644166543	5.224513816	1.023058353	84	37.17066944	0	0			0	0			13.86080086	0	0	0	37.61609793	10.33350453	1.018920634
162		BU02_03	PM2.5	1.005704522	1.131593022	3.694289147	1.079894928	43	17.5617218	0.411175191	36.51192784			0.024462776	0.507798418			0	0	0	0	0	44.98291314	0
163		BU02_03	PM2.5	2.570133779	1.808976496	6.940385866	1.49142576	105	59.05499458	10.62031016	4.341744259			0	0			6.921734661	0.132718461	0.080801413	18.84769201	0	0	0
