Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Na Wt%	Al Wt%	Si Wt%	Cl Wt%	K Wt%	Ca Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
87		WN03_03	PM2.5	0.782214628	0.997971241	3.508641765	1.252397696	32	89.23612833	0		0		0.012990132		10.27347445	0.112526212	0.095231785	0	0.121625408	0.148027018	0	0
89		WN03_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	22	77.67113447	0		3.133986145		17.02582091		0	0	0	0.865529198	0.219269213	0.327169895	0.344659737	0.412429171
91		WN03_03	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	24	4.958064854	0.171764125		0		0		0.589861162	78.87555361	0	0	15.25833905	0.146415515	0	0
92		WN03_03	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	25	13.50728869	0		0		0.861462019		0.015863628	6.9731839	24.08566177	23.18284512	25.31906664	4.24772054	0	1.806907542
94		WN03_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	16	56.24563694	0		0		38.96713555		0	1.415888406	0.876442716	0.336964848	0.381452637	0.462604035	0.57786582	0.736008165
93		WN03_03	PM2.5	4.358052929	2.35559872	9.81518782	1.759117563	166	34.26438272	35.63862741		6.51005283		0		0	0	0	0	23.58692735	0	0	0
95		WN03_03	PM2.5	1.564429257	1.411344463	4.328128958	0.952872057	44	55.27670383	2.066700533		0		0		0.085466634	0	0	0	0	0	8.940586448	33.63054395
97		WN03_03	PM2.5	3.24060346	2.03127164	6.492193438	1.0350162	136	31.01166189	32.03301728		0		0.097385183		0.088564405	0	0	0	0	0	36.76937521	0
98		WN03_03	PM2.5	1.229194416	1.251023157	6.383443719	2.63802936	81	0	0		7.112054527		0		8.17861259	0	0	0	0	29.47198153	0	55.23735285
99		WN03_03	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	30	0	0.401469367		0.013863892		0.009582024		0	19.29998994	35.24704278	25.99077523	0	6.912154704	12.12512776	0
