Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Al Wt%	Si Wt%	Cl Wt%	K Wt%	Ca Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
169		OC01_01	PM2.5	1.229194416	1.251023157	3.956834194	1.013596872	41	42.03045964	27.44601667	0		0.004941516		6.162645295	0	0	8.588125557	15.76780975	0	0	0
171		OC01_01	PM2.5	2.346643885	1.728536893	5.410161198	0.992575059	71	69.06536818	6.077168509	8.246149868		0		9.380222857	0	0	0	7.231090963	0	0	0
172		OC01_01	PM10	5.698992292	2.693730193	9.290097728	1.205126487	167	59.87524986	0	35.95900834		0.22297143		0	0	0	0	3.942766786	0	0	0
173		OC01_01	PM2.5	1.564429257	1.411344463	4.513776341	1.036368677	79	44.0887928	17.85212755	0.906937942		0		4.520298541	16.5503785	3.408282995	0	2.27149725	0	0	10.40168032
174		OC01_01	PM2.5	1.340939363	1.306651072	4.328128958	1.111684066	44	52.84885764	2.164586633	1.876677759		3.359077498		7.873106003	0	0	0	0	0	5.715693906	26.16199553
175		OC01_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	2	0	52.00318098	1.262191776		0.730640907		1.185406931	4.074442759	4.359100014	4.872729257	5.532525107	6.735601276	8.452367783	10.79181209
178		OC01_01	PM2.5	4.022818089	2.263186044	13.47762491	3.593242047	101	41.58497155	5.840316415	1.606711		4.346165434		2.856944501	22.37147689	15.3673619	0	0	0	6.026059017	0
180		OC01_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	11	15.04530758	80.24645448	0.370695256		0		0.138689915	0.497513311	0.534284255	0.601473125	0.684248423	0.834106095	1.047220733	0
181		OC01_01	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	36	52.85177231	16.51524454	0.027839327		0.007018985		14.95487392	7.352565229	5.380428955	0	0	0	2.378555015	0.531697599
182		OC01_01	PM2.5	1.117449469	1.192803778	4.142481576	1.22203435	47	53.0867517	0	15.37411362		1.038835943		0.461307494	19.82276589	0	0	10.02004817	0.196169713	0	0
