Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Mg Wt%	Al Wt%	Si Wt%	S Wt%	Cl Wt%	K Wt%	Ca Wt%	Fe Wt%	Br Wt%	Rb Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
110		OC01_02	PM10	7.59865639	3.110451704	12.76688744	1.706960174	302	41.17673337	13.65757734		0			0.890208501		0.315584079				0	1.318494696	15.82895219	24.50204641	0	1.183027495	1.127372868
112		OC01_02	PM10	40.45167078	7.176675197	27.28149898	1.464165367	761	34.41264331	5.176543072		4.880985618	12.32405007		0		32.45332837				0.535612274	0	0	3.108727932	0	7.108099759	0
114		OC01_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	7	0	9.627930075		0.228622998			43.77936125		0				16.98538512	10.89806184	2.487305552	2.803768776	3.423936293	4.303159937	5.462464318
115		OC01_02	PM2.5	1.005704522	1.131593022	4.142481576	1.357815944	57	68.86706352	0		11.95754632			10.1312831		0				9.04410854	0	0	0	0	0	0
118		OC01_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	4	67.33083129	0		0			0		0.818386115				2.870912105	3.079649992	3.451835364	3.92793864	4.795887321	6.023404002	7.701158524
119		OC01_02	PM2.5	3.128858513	1.995942481	6.306546055	1.01155	79	40.49751461	1.62056759		0.824191142			0		22.11735398				3.473747894	0.023020127	0	0	1.566716656	26.78322494	3.093662299
121		OC01_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	29	24.60983545	0		1.204787474			0		0.010404164				24.49959219	15.77523053	0	0	27.50756741	4.938494042	1.454091817
123		OC01_02	PM2.5	1.340939363	1.306651072	4.142481576	1.018361958	47	45.60059905	0		6.097074598			0		0.66523063				0	16.1338836	27.67048776	2.744753473	0	0	1.087972987
126		OC01_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	21	93.76093745	0		0.605018903			0.076484872		0				0.497608678	0.534714479	0.601964165	0.685402285	0.837875251	1.052533183	1.347463671
129		OC01_02	PM2.5	1.676174204	1.46088031	4.776321387	1.083073842	69	71.31051421	0		4.352742806			11.12869829		9.658229351				0	0	0	0	0.510864099	3.038961254	0
132		OC01_02	PM2.5	3.352348407	2.065996747	6.492193438	1.00051566	82	67.02613831	0		11.49950176			0.260076928		0				0	4.834755883	15.24450779	1.135019958	0	0	0
134		OC01_02	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	27	32.95907974	38.27902675		0			0.545705436		0.040120093				13.23865652	0	0	0	2.221684158	12.71573454	0
135		OC01_02	PM2.5	0.558724735	0.84343964	3.246096719	1.50077349	23	76.34334564	0		0.049852103			19.38815415		0.105539337				0.372458086	0.398942223	0.448333379	0.508852303	0.619091606	0.775319804	0.990111753
137		OC01_02	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	11	51.68433189	45.47397196		0.259088818			0.034347072		0.061957526				0.223072758	0.239543896	0.269781449	0.306861196	0.374648767	0.470386073	0.602004491
143		OC01_02	PM2.5	1.564429257	1.411344463	4.513776341	1.036368677	56	47.18171358	22.81426191		0			2.394503728		0				11.12889275	9.104304016	0.584722543	0	6.791594625	0	0
147		OC01_02	PM2.5	2.681878726	1.847883667	6.306546055	1.180141667	81	41.77010357	8.980350941		0			0		17.92302579				12.37716004	0	0	13.50220293	1.074952539	0.369971571	4.002234712
149		OC01_02	PM2.5	0.782214628	0.997971241	3.060449336	0.952872057	42	33.39892924	35.84169447		6.869249046			1.465495117		0.036042897				0	0	0	22.38858193	0	0	0
150		OC01_02	PM2.5	2.234898938	1.68687928	7.094181194	1.791995027	117	30.36838174	0		17.75406152			1.73509866		0				0	0	15.33310562	21.65539712	5.388397351	7.765559852	0
148		OC01_02	PM10	55.64898356	8.417510706	29.47741552	1.242543799	1411	34.47217941	2.874699049	4.058132321	2.371026948	21.44701034		0		9.302776307	19.84963864			0	0	0	0	2.244772203	3.379768506	0
153		OC01_02	PM2.5	1.564429257	1.411344463	4.328128958	0.952872057	12	67.19939113	0		2.014411613			0.252351561		0.432474539				30.10136485	0	0	0	0	0	0
157		OC01_02	PM10	16.09127235	4.526372089	25.00868478	3.093010936	252	40.41347206	4.881308973		3.089066409			0		12.4973841				0	0	17.298159	19.27889585	0	0	2.541709505
159		OC01_02	PM2.5	0.782214628	0.997971241	3.246096719	1.071981064	14	83.28237534	0		0			7.995121181		0				0	0.925893895	1.040806249	1.183912065	1.443801168	1.811411977	2.31667906
160		OC01_02	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	14	5.192650855	16.61428213		0.186315249			0.814535562		3.356712684				0	0	0	0	4.640765116	59.45475101	9.739974141
158		OC01_02	PM10	14.63858804	4.317224708	16.5699263	1.492561038	495	44.62107718	2.167899907		13.70718628	21.06839716		1.174803171		0.246509258				3.423584625	2.51806546	1.407012995	2.873264626	2.949666604	3.842521086	0
162		OC01_02	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	18	88.53180408	0		0			0.178930443		0.909278821				0	0	8.435411751	0	0.681416364	1.263157837	0
163		OC01_02	PM10	8.380871018	3.26662768	18.43959368	3.228521429	281	49.94417131	0		1.01561714			0		2.502970211				8.377633989	9.643791616	10.10393649	0	0	18.41187775	0
