Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Na Wt%	Mg Wt%	Al Wt%	Si Wt%	Cl Wt%	K Wt%	Ca Wt%	Ti Wt%	Fe Wt%	Br Wt%	Rb Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%	W Wt%
176		OC02_03	PM10	8.380871018	3.26662768	13.06128454	1.619842392	371	49.18144345	2.954692394			0.981202628	32.88246095	0.303151226		1.038182341					3.363263234	6.315339357	1.886883192	0	0	1.093381364	0	
178		OC02_03	PM2.5	0.782214628	0.997971241	3.87993653	1.531487459	56	49.895823	25.76617002			11.38508543		0.444979314		0.202943361					0	0	0	0	12.30500042	0	0	
181		OC02_03	PM2.5	3.464093354	2.100147767	7.202930912	1.191842992	115	60.13658047	0			17.41314083		0		5.394876748					0	0	0	0	0	10.02655849	7.028844208	
182		OC02_03	PM2.5	1.564429257	1.411344463	6.940385866	2.450199462	82	35.80965698	0.263627782			16.44960344		0		0.459939986					0	5.941060558	2.86788661	0	3.026570193	35.18165052	0	
188		OC02_03	PM10	72.85770538	9.63147505	42.13555323	1.939152872	1590	38.74065876	1.270916127			17.26438999	26.98139548	0.348884123	12.59539276	0.420907745					0	0	0.201655668	0	2.175778709	0	0	
190		OC02_03	PM2.5	3.799328195	2.199421492	8.022418106	1.348012472	159	63.59362006	0			0.329092587	33.57031941	2.506970428		0					0	0	0	0	0	0	0	
191		OC02_03	PM10	6.257717027	2.822688927	10.63467501	1.438211182	163	41.28498137	0			9.466116875	27.61743069	3.350028768		10.58453247					0	0	0	0	1.238713134	6.458201259	0	
194		OC02_03	PM10	5.922482186	2.746040517	10.78847034	1.563889691	196	44.15440559	0			8.460894972		0		15.79840928					8.609525859	0	0	0	0	6.63644895	16.34031236	
195		OC02_03	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	55	59.36575532	0			0		0.692606019		33.35766792					0	0	0	0	0	6.583976746	0	
196		OC02_03	PM2.5	0.223489894	0.533438066	1.607122332	0.919665974	6	59.28338766	38.6521101			0.057229964		0.079005829		0.143173733					0.517681148	0.555700762	0	0.711708376	0	0	0	
197		OC02_03	PM2.5	1.78791915	1.508790696	5.487058862	1.340051527	61	34.10790861	0			6.512149423		0		0					19.0724954	32.03708827	6.151557714	0	0	0	2.118802629	
198		OC02_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	15	61.61465049	0			1.199232973		0		0.092206791					7.57009387	16.02244377	0.390339643	1.505962759	0	11.60507649	0	
199		OC02_03	PM2.5	0.335234841	0.653325536	2.240962143	1.192092698	29	33.78647864	16.78552777			0		0.998052396		0					10.81819981	32.83873498	4.373616725	0	0	0	0.399394985	
200		OC02_03	PM2.5	0.446979788	0.754395348	2.426609525	1.048339735	14	18.38200539	25.51727295			0		0.024515012		0.155351008					0	0	39.07646537	16.84438139	0	0	0	
205		OC02_03	PM2.5	0.670469681	0.923941834	3.87993653	1.786735369	53	30.18665016	0.730704982			17.56402999		0.004284283		0					32.13623762	3.831605241	0	2.642609738	0	0.180908397	12.72297055	
201		OC02_03	PM2.5	0.446979788	0.754395348	2.426609525	1.048339735	21	18.24578494	0			0		0.004580007		6.201102212					5.979385599	11.11017466	20.28469145	0	25.41838884	8.371598274	4.38429378	
