leaf_id,tree_species,date,time,gs,temp,sensor_serial_number,sensor_cal_number,leaf_sensor_rh,filter_sensor_rh,leaf_orientation,leaf_sun_exposure,notes
QR02,Quercus robur,2023-06-28,13:50:46,296.6,19.6,LPS2225,2303409,54.9,27.9,NW,Overcast,"Small Breeze,Dried leaf"
QR03,Quercus robur,2023-06-28,13:54:39,331.8,18.8,LPS2225,2303409,56.3,28.8,NE,Overcast,"Small Breeze,Dried leaf"
AU01,Arbutus unedo,2023-06-28,13:59:00,348.8,18.3,LPS2225,2303409,57.2,29.6,E,Overcast,"Still,Dried leaf"
AU02,Arbutus unedo,2023-06-28,14:07:23,216.7,19.4,LPS2225,2303409,50.1,25.7,NE,Overcast,"Still,Dried leaf"
AU03,Arbutus unedo,2023-06-28,14:11:32,238.4,19.6,LPS2225,2303409,51.9,26.8,E,Overcast,"Still,Dried leaf"
AI01,Aesculus indica,2023-06-28,14:16:42,196.5,19.5,LPS2225,2303409,48.4,24.7,SE,Overcast,Small Breeze
AI02,Aesculus indica,2023-06-28,14:20:52,98.8,19.9,LPS2225,2303409,37.2,19.4,E,Overcast,Small Breeze
AI03,Aesculus indica,2023-06-28,14:26:31,151.6,19.5,LPS2225,2303409,44.2,22.8,SE,Sun Flecks,"Small Breeze,Overcast photosynQ"
JN01,Juglans nigra,2023-06-28,14:30:09,87,19.4,LPS2225,2303409,34.3,17.6,NE,Overcast,Breezy
JN02,Juglans nigra,2023-06-28,14:33:12,80.2,19.2,LPS2225,2303409,32.9,17,N,Overcast,Breezy
JN03,Juglans nigra,2023-06-28,14:35:42,118,19,LPS2225,2303409,39.7,20.6,SE,Overcast,Breezy
DI01,Davidia involucrata var. vilmoriniana,2023-06-28,14:41:16,208.7,18.7,LPS2225,2303409,49.2,25.4,S,Overcast,Breezy
DI02,Davidia involucrata var. vilmoriniana,2023-06-28,14:45:33,185.1,18.7,LPS2225,2303409,47,24,S,Overcast,Breezy
DI03,Davidia involucrata var. vilmoriniana,2023-06-28,14:48:28,199.6,18.8,LPS2225,2303409,48.6,25,S,Overcast,Breezy
QR01,Quercus robur,2023-06-29,09:01:55,320.3,18.5,LPS2225,2102508,49.8,24.3,NW,Shade,"Still,Changed leaf after porometry to a nearby lef."
QR02,Quercus robur,2023-06-29,09:06:17,326.8,17.7,LPS2225,2102508,50.1,24.9,NW,Shade,Still
QR03,Quercus robur,2023-06-29,09:09:46,347.4,17.2,LPS2225,2102508,51,25.4,NE,Shade,Still
AU01,Arbutus unedo,2023-06-29,09:15:43,254.1,17.1,LPS2225,2102508,45.9,22.9,E,Sun Flecks,Small Breeze
AU02,Arbutus unedo,2023-06-29,09:19:11,182.8,17.5,LPS2225,2102508,40.6,20.5,NE,Sun Flecks,Small Breeze
AU03,Arbutus unedo,2023-06-29,09:22:01,260.5,18.2,LPS2225,2102508,47.1,23.8,E,Sun Flecks,Small Breeze
AI01,Aesculus indica,2023-06-29,09:25:14,276.5,18.2,LPS2225,2102508,47.9,24,SE,Sun Flecks,Small Breeze
AI02,Aesculus indica,2023-06-29,09:31:57,211.4,18.7,LPS2225,2102508,43.2,21.4,E,Sun Flecks,Small Breeze
AI03,Aesculus indica,2023-06-29,09:35:34,328.6,18.9,LPS2225,2102508,50.9,25.4,SE,Sun Flecks,Small Breeze
JN01,Juglans nigra,2023-06-29,09:40:23,100.1,19.3,LPS2225,2102508,31,15.7,NE,Shade,Breezy
JN02,Juglans nigra,2023-06-29,09:42:50,94,18.9,LPS2225,2102508,30,15.5,N,Shade,Breezy
JN03,Juglans nigra,2023-06-29,09:46:56,106.5,18.3,LPS2225,2102508,31.8,16.3,SE,Shade,Breezy
DI01,Davidia involucrata var. vilmoriniana,2023-06-29,09:49:10,214.8,18.6,LPS2225,2102508,44,22.3,S,Sun,Breezy
DI02,Davidia involucrata var. vilmoriniana,2023-06-29,09:52:10,180.5,20.8,LPS2225,2102508,41.7,21.1,S,Sun,Breezy
DI03,Davidia involucrata var. vilmoriniana,2023-06-29,09:54:29,168.3,21,LPS2225,2102508,40.4,20.5,S,Sun,Breezy
PD01,Phoenix dactylifera,2023-06-29,10:01:41,191.6,20.9,LPS2225,2102508,42.6,21.5,S,Sun,Still
PD02,Phoenix dactylifera,2023-06-29,10:04:51,129.9,20.1,LPS2225,2102508,35.7,18,SW,Sun Flecks,Still
PD03,Phoenix dactylifera,2023-06-29,10:07:24,134,19.6,LPS2225,2102508,36.4,18.6,NW,Sun Flecks,Still
WN01,Wollemia nobilis,2023-06-29,10:11:15,104.5,19.8,LPS2225,2102508,32.1,16.4,N,Shade,"Still,Difficulty covering sensor"
WN02,Wollemia nobilis,2023-06-29,10:14:02,120,19.3,LPS2225,2102508,34.4,17.6,S,Shade,"Still,Difficulty covering sensor"
WN03,Wollemia nobilis,2023-06-29,10:19:49,135.6,19.4,LPS2225,2102508,36.5,18.6,N,Shade,"Still,Difficulty covering sensor"
TT02,Tilia tomentosa,2023-06-29,10:23:09,139.1,19.1,LPS2225,2102508,36.6,18.4,NW,Shade,Small Breeze
TT01,Tilia tomentosa,2023-06-29,10:25:51,145,18.7,LPS2225,2102508,37.4,19.1,W,Shade,Small Breeze
TT03,Tilia tomentosa,2023-06-29,10:29:13,112.4,18.3,LPS2225,2102508,32.5,16.6,W,Shade,Small Breeze
OC01,Ostrya carpinifolia,2023-06-29,10:32:41,222.3,18,LPS2225,2102508,44.2,22.3,NW,Shade,Small Breeze
OC02,Ostrya carpinifolia,2023-06-29,10:36:04,187.4,17.8,LPS2225,2102508,41.2,20.8,SW,Shade,Small Breeze
OC03,Ostrya carpinifolia,2023-06-29,10:39:26,218,17.8,LPS2225,2102508,43.7,21.9,W,Shade,Small Breeze
